id,fileName,gender,sameAs,knownName.en,knownName.se,givenName.en,givenName.se,familyName.en,familyName.se,fullName.en,fullName.se,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.cityNow.sameAs,birth.place.cityNow.latitude,birth.place.cityNow.longitude,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.countryNow.sameAs,birth.place.countryNow.latitude,birth.place.countryNow.longitude,birth.place.continent.en,birth.place.continent.no,birth.place.continent.se,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,wikipedia.slug,wikipedia.english,wikidata.id,wikidata.url,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.country.en,death.place.country.no,death.place.country.se,death.place.country.sameAs,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.cityNow.sameAs,death.place.cityNow.latitude,death.place.cityNow.longitude,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.countryNow.sameAs,death.place.countryNow.latitude,death.place.countryNow.longitude,death.place.continent.en,death.place.continent.no,death.place.continent.se,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,links.rel,links.href,links.action,links.types,nobelPrizes.awardYear,nobelPrizes.sortOrder,nobelPrizes.portion,nobelPrizes.dateAwarded,nobelPrizes.prizeStatus,nobelPrizes.prizeAmount,nobelPrizes.prizeAmountAdjusted,nobelPrizes.category.en,nobelPrizes.category.no,nobelPrizes.category.se,nobelPrizes.categoryFullName.en,nobelPrizes.categoryFullName.no,nobelPrizes.categoryFullName.se,nobelPrizes.motivation.en,nobelPrizes.motivation.se,nobelPrizes.motivation.no,nobelPrizes.residences,nobelPrizes.affiliations.name.en,nobelPrizes.affiliations.name.no,nobelPrizes.affiliations.name.se,nobelPrizes.affiliations.nameNow.en,nobelPrizes.affiliations.city.en,nobelPrizes.affiliations.city.no,nobelPrizes.affiliations.city.se,nobelPrizes.affiliations.country.en,nobelPrizes.affiliations.country.no,nobelPrizes.affiliations.country.se,nobelPrizes.affiliations.cityNow.en,nobelPrizes.affiliations.cityNow.no,nobelPrizes.affiliations.cityNow.se,nobelPrizes.affiliations.cityNow.sameAs,nobelPrizes.affiliations.cityNow.latitude,nobelPrizes.affiliations.cityNow.longitude,nobelPrizes.affiliations.countryNow.en,nobelPrizes.affiliations.countryNow.no,nobelPrizes.affiliations.countryNow.se,nobelPrizes.affiliations.countryNow.sameAs,nobelPrizes.affiliations.countryNow.latitude,nobelPrizes.affiliations.countryNow.longitude,nobelPrizes.affiliations.continent.en,nobelPrizes.affiliations.locationString.en,nobelPrizes.affiliations.locationString.no,nobelPrizes.affiliations.locationString.se,nobelPrizes.links.rel,nobelPrizes.links.href,nobelPrizes.links.action,nobelPrizes.links.types
745,spence,male,"['https://www.wikidata.org/wiki/Q157245', 'https://en.wikipedia.org/wiki/Michael_Spence']",A. Michael Spence,A. Michael Spence,A. Michael,A. Michael,Spence,Spence,A. Michael Spence,A. Michael Spence,1943-00-00,"Montclair, NJ","Montclair, NJ","Montclair, NJ",USA,USA,USA,"Montclair, NJ","Montclair, NJ","Montclair, NJ","['https://www.wikidata.org/wiki/Q678437', 'https://www.wikipedia.org/wiki/Montclair,_New_Jersey']",40.825930,-74.209030,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Montclair, NJ, USA","Montclair, NJ, USA","Montclair, NJ, USA",Michael_Spence,https://en.wikipedia.org/wiki/Michael_Spence,Q157245,https://www.wikidata.org/wiki/Q157245,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/745,GET,application/json,2001,2,1/3,2001-10-10,received,10000000,15114754,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their analyses of markets with asymmetric information,för deras analys av marknader med assymetrisk informations,,,Stanford University,Stanford University,Stanford University,Stanford University,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA","Stanford, CA","Stanford, CA","['https://www.wikidata.org/wiki/Q173813', 'https://www.wikipedia.org/wiki/Stanford,_California']",37.424734,-122.163858,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Stanford, CA, USA","Stanford, CA, USA","Stanford, CA, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2001,GET,application/json
102,bohr,male,"['https://www.wikidata.org/wiki/Q103854', 'https://en.wikipedia.org/wiki/Aage_Bohr']",Aage N. Bohr,Aage N. Bohr,Aage N.,Aage N.,Bohr,Bohr,Aage Niels Bohr,Aage Niels Bohr,1922-06-19,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,"['https://www.wikidata.org/wiki/Q1748', 'https://www.wikipedia.org/wiki/Copenhagen']",55.678127,12.572532,Denmark,Danmark,Danmark,['https://www.wikidata.org/wiki/Q35'],56.000000,10.000000,Europe,Europa,Europa,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",Aage_Bohr,https://en.wikipedia.org/wiki/Aage_Bohr,Q103854,https://www.wikidata.org/wiki/Q103854,2009-09-08,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,https://www.wikidata.org/wiki/Q35,Copenhagen,København,Köpenhamn,"['https://www.wikidata.org/wiki/Q1748', 'https://www.wikipedia.org/wiki/Copenhagen']",55.678127,12.572532,Denmark,Danmark,Danmark,['https://www.wikidata.org/wiki/Q35'],56.000000,10.000000,Europe,Europa,Europa,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",laureate,https://api.nobelprize.org/2/laureate/102,GET,application/json,1975,1,1/3,1975-10-17,received,630000,4184870,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,"för upptäckten av sambandet mellan kollektiva rörelser och partikelrörelser i atomkärnor, samt den därpå baserade utvecklingen av teorien för atomkärnans struktur",,,Niels Bohr Institute,Niels Bohr Institute,Niels Bohr Institute,Niels Bohr Institute,Copenhagen,København,Köpenhamn,Denmark,Danmark,Danmark,Copenhagen,København,Köpenhamn,"['https://www.wikidata.org/wiki/Q1748', 'https://www.wikipedia.org/wiki/Copenhagen']",55.678127,12.572532,Denmark,Danmark,Danmark,['https://www.wikidata.org/wiki/Q35'],56.000000,10.000000,Europe,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1975,GET,application/json
779,ciechanover,male,"['https://www.wikidata.org/wiki/Q233205', 'https://en.wikipedia.org/wiki/Aaron_Ciechanover']",Aaron Ciechanover,Aaron Ciechanover,Aaron,Aaron,Ciechanover,Ciechanover,Aaron Ciechanover,Aaron Ciechanover,1947-10-01,Haifa,Haifa,Haifa,British Protectorate of Palestine,British i Palestina,British Protectorate of Palestine,Haifa,Haifa,Haifa,"['https://www.wikidata.org/wiki/Q41621', 'https://www.wikipedia.org/wiki/Haifa']",32.794421,34.990340,Israel,Israel,Israel,['https://www.wikidata.org/wiki/Q801'],31.000000,35.000000,Asia,Asia,Asien,"Haifa, British Protectorate of Palestine (now Israel)","Haifa, British i Palestina (nå Israel)","Haifa, British Protectorate of Palestine (nu Israel)",Aaron_Ciechanover,https://en.wikipedia.org/wiki/Aaron_Ciechanover,Q233205,https://www.wikidata.org/wiki/Q233205,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/779,GET,application/json,2004,1,1/3,2004-10-06,received,10000000,14460477,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the discovery of ubiquitin-mediated protein degradation,för upptäckten av ubiquitinmedierad proteinnedbrytning,,,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Haifa,Haifa,Haifa,Israel,Israel,Israel,Haifa,Haifa,Haifa,"['https://www.wikidata.org/wiki/Q41621', 'https://www.wikipedia.org/wiki/Haifa']",32.794421,34.990340,Israel,Israel,Israel,['https://www.wikidata.org/wiki/Q801'],31.000000,35.000000,Asia,"Haifa, Israel","Haifa, Israel","Haifa, Israel",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2004,GET,application/json
259,klug,male,"['https://www.wikidata.org/wiki/Q190626', 'https://en.wikipedia.org/wiki/Aaron_Klug']",Aaron Klug,Aaron Klug,Aaron,Aaron,Klug,Klug,Aaron Klug,Aaron Klug,1926-08-11,Zelvas,Zelvas,Zelvas,Lithuania,Litauen,Litauen,Zelvas,Zelvas,Zelvas,"['https://www.wikidata.org/wiki/Q691679', 'https://www.wikipedia.org/wiki/%C5%BDelva']",53.148256,24.816515,Lithuania,Litauen,Litauen,['https://www.wikidata.org/wiki/Q37'],55.200000,24.000000,Europe,Europa,Europa,"Zelvas, Lithuania","Zelvas, Litauen","Zelvas, Litauen",Aaron_Klug,https://en.wikipedia.org/wiki/Aaron_Klug,Q190626,https://www.wikidata.org/wiki/Q190626,2018-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/259,GET,application/json,1982,1,1,1982-10-18,received,1150000,3814029,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,för hans utveckling av kristallografisk elektronmikroskopi och hans klarläggande av strukturen hos biologiskt viktiga nukleinsyra-proteinkomplex,,,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,"['https://www.wikidata.org/wiki/Q350', 'https://www.wikipedia.org/wiki/Cambridge']",52.194605,0.135092,United Kingdom,Storbritannia,Storbritannien,['https://www.wikidata.org/wiki/Q145'],54.600000,-2.000000,Europe,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1982,GET,application/json
1004,gurnah,male,"['https://www.wikidata.org/wiki/Q317877', 'https://en.wikipedia.org/wiki/Abdulrazak_Gurnah']",Abdulrazak Gurnah,Abdulrazak Gurnah,Abdulrazak,Abdulrazak,Gurnah,Gurnah,Abdulrazak Gurnah,Abdulrazak Gurnah,1948-00-00,,,,,,,,,,,,,,,,,,,,,,,,,Abdulrazak_Gurnah,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,Q317877,https://www.wikidata.org/wiki/Q317877,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/1004,GET,application/json,2021,1,1,2021-10-07,received,10000000,11760204,Literature,Litteratur,Litteratur,The Nobel Prize in Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/2021,GET,application/json
114,salam,male,"['https://www.wikidata.org/wiki/Q28189', 'https://en.wikipedia.org/wiki/Abdus_Salam']",Abdus Salam,Abdus Salam,Abdus,Abdus,Salam,Salam,Abdus Salam,Abdus Salam,1926-01-29,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,India,India,Indien,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,"['https://www.wikidata.org/wiki/Q1026616', 'https://www.wikipedia.org/wiki/Jhang']",31.268056,72.318056,Pakistan,Pakistan,Pakistan,['https://www.wikidata.org/wiki/Q843'],30.000000,71.000000,Asia,Asia,Asien,"Jhang Maghiāna, India (now Pakistan)","Jhang Maghiāna, India (nå Pakistan)","Jhang Maghiāna, Indien (nu Pakistan)",Abdus_Salam,https://en.wikipedia.org/wiki/Abdus_Salam,Q28189,https://www.wikidata.org/wiki/Q28189,1996-11-21,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,https://www.wikidata.org/wiki/Q145,Oxford,Oxford,Oxford,"['https://www.wikidata.org/wiki/Q34217', 'https://www.wikipedia.org/wiki/Oxford']",51.753363,-1.260979,United Kingdom,Storbritannia,Storbritannien,['https://www.wikidata.org/wiki/Q145'],54.600000,-2.000000,Europe,Europa,Europa,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",laureate,https://api.nobelprize.org/2/laureate/114,GET,application/json,1979,2,1/3,1979-10-15,received,800000,3673307,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","för deras insatser inom teorin för förenad svag och elektromagnetisk växelverkan mellan elementar partiklar, innefattande bl.a. förutsägelsen av den svaga neutrala strömmen",,,International Centre for Theoretical Physics,International Centre for Theoretical Physics,International Centre for Theoretical Physics,International Centre for Theoretical Physics,Trieste,Trieste,Trieste,Italy,Italia,Italien,Trieste,Trieste,Trieste,"['https://www.wikidata.org/wiki/Q546', 'https://www.wikipedia.org/wiki/Trieste']",45.649433,13.776623,Italy,Italia,Italien,['https://www.wikidata.org/wiki/Q38'],42.500000,12.500000,Europe,"Trieste, Italy","Trieste, Italia","Trieste, Italien",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1979,GET,application/json
982,banerjee,male,"['https://www.wikidata.org/wiki/Q320578', 'https://en.wikipedia.org/wiki/Abhijit_Banerjee']",Abhijit Banerjee,Abhijit Banerjee,Abhijit,Abhijit,Banerjee,Banerjee,Abhijit Banerjee,Abhijit Banerjee,1961-02-21,Mumbai,Mumbai,Mumbai,India,India,Indien,Mumbai,Mumbai,Mumbai,"['https://www.wikidata.org/wiki/Q1156', 'https://www.wikipedia.org/wiki/Mumbai']",19.075833,72.877500,India,India,Indien,['https://www.wikidata.org/wiki/Q668'],22.800000,83.000000,Asia,Asia,Asien,"Mumbai, India","Mumbai, India","Mumbai, Indien",Abhijit_Banerjee,https://en.wikipedia.org/wiki/Abhijit_Banerjee,Q320578,https://www.wikidata.org/wiki/Q320578,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/982,GET,application/json,2019,1,1/3,2019-10-14,received,9000000,10866946,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their experimental approach to alleviating global poverty,för deras experimentella ansats för att mildra global fattigdom,,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA","['https://www.wikidata.org/wiki/Q49111', 'https://www.wikipedia.org/wiki/Cambridge,_Massachusetts']",42.374024,-71.107306,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2019,GET,application/json
981,abiy,male,"['https://www.wikidata.org/wiki/Q50365049', 'https://en.wikipedia.org/wiki/Abiy_Ahmed']",Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Abiy,Ahmed Ali,Ahmed Ali,Abiy Ahmed Ali,Abiy Ahmed Ali,1976-08-15,Beshasha,Beshasha,Beshasha,Ethiopia,Etiopia,Etiopien,Beshasha,Beshasha,Beshasha,"['https://www.wikidata.org/wiki/Q2899862', 'https://www.wikipedia.org/wiki/Beshasha']",7.795864,36.477062,Ethiopia,Etiopia,Etiopien,['https://www.wikidata.org/wiki/Q115'],9.000000,40.000000,Africa,Afrika,Afrika,"Beshasha, Ethiopia","Beshasha, Etiopia","Beshasha, Etiopien",Abiy_Ahmed,https://en.wikipedia.org/wiki/Abiy_Ahmed,Q50365049,https://www.wikidata.org/wiki/Q50365049,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/981,GET,application/json,2019,1,1,2019-10-11,received,9000000,10866946,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,"for hans innsats for fred og mellomstatlig samarbeid, og da særlig for hans avgjørande initiativ for å løsa grensekonflikten med nabolandet Eritrea",,,,,,,,,,,,,,,,,,,,,,,,,,,,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2019,GET,application/json
843,yonath,female,"['https://www.wikidata.org/wiki/Q7426', 'https://en.wikipedia.org/wiki/Ada_Yonath']",Ada E. Yonath,Ada E. Yonath,Ada E.,Ada E.,Yonath,Yonath,Ada E. Yonath,Ada E. Yonath,1939-06-22,Jerusalem,Jerusalem,Jerusalem,British Mandate of Palestine,Palestinamandatet,Brittiska Palestinamandatet,Jerusalem,Jerusalem,Jerusalem,"['https://www.wikidata.org/wiki/Q1218', 'https://www.wikipedia.org/wiki/Jerusalem']",31.767983,35.213809,Israel,Israel,Israel,['https://www.wikidata.org/wiki/Q801'],31.000000,35.000000,Asia,Asia,Asien,"Jerusalem, British Mandate of Palestine (now Israel)","Jerusalem, Palestinamandatet (nå Israel)","Jerusalem, Brittiska Palestinamandatet (nu Israel)",Ada_Yonath,https://en.wikipedia.org/wiki/Ada_Yonath,Q7426,https://www.wikidata.org/wiki/Q7426,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/843,GET,application/json,2009,3,1/3,2009-10-07,received,10000000,13471654,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for studies of the structure and function of the ribosome,för studier av ribosomens struktur och funktion,,,Weizmann Institute of Science,Weizmann Institute of Science,Weizmann Institute of Science,Weizmann Institute of Science,Rehovot,Rehovot,Rehovot,Israel,Israel,Israel,Rehovot,Rehovot,Rehovot,"['https://www.wikidata.org/wiki/Q207350', 'https://www.wikipedia.org/wiki/Rehovot']",31.892773,34.811272,Israel,Israel,Israel,['https://www.wikidata.org/wiki/Q801'],31.000000,35.000000,Asia,"Rehovot, Israel","Rehovot, Israel","Rehovot, Israel",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2009,GET,application/json
866,riess,male,"['https://www.wikidata.org/wiki/Q106454', 'https://en.wikipedia.org/wiki/Adam_Riess']",Adam G. Riess,Adam G. Riess,Adam G.,Adam G.,Riess,Riess,Adam G. Riess,Adam G. Riess,1969-12-16,"Washington, D.C.","Washington, D.C.","Washington, D.C.",USA,USA,USA,"Washington, D.C.","Washington, D.C.","Washington, D.C.","['https://www.wikidata.org/wiki/Q61', 'https://www.wikipedia.org/wiki/Washington,_D.C.']",38.899065,-77.036523,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,Nord-Amerika,Nordamerika,"Washington, D.C., USA","Washington, D.C., USA","Washington, D.C., USA",Adam_Riess,https://en.wikipedia.org/wiki/Adam_Riess,Q106454,https://www.wikidata.org/wiki/Q106454,,,,,,,,,,,,,,,,,,,,,,,,,,,laureate,https://api.nobelprize.org/2/laureate/866,GET,application/json,2011,3,1/4,2011-10-04,received,10000000,12964004,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor,,,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD","Baltimore, MD","Baltimore, MD","['https://www.wikidata.org/wiki/Q5092', 'https://www.wikipedia.org/wiki/Baltimore']",39.291586,-76.625305,USA,USA,USA,['https://www.wikidata.org/wiki/Q30'],39.828175,-98.579500,North America,"Baltimore, MD, USA","Baltimore, MD, USA","Baltimore, MD, USA",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2011,GET,application/json
199,butenandt,male,"['https://www.wikidata.org/wiki/Q5327', 'https://en.wikipedia.org/wiki/Adolf_Butenandt']",Adolf Butenandt,Adolf Butenandt,Adolf,Adolf,Butenandt,Butenandt,Adolf Friedrich Johann Butenandt,Adolf Friedrich Johann Butenandt,1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Germany,Tyskland,Tyskland,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,"['https://www.wikidata.org/wiki/Q2706', 'https://www.wikipedia.org/wiki/Bremerhaven']",53.550000,8.583333,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Bremerhaven-Lehe, Germany","Bremerhaven-Lehe, Tyskland","Bremerhaven-Lehe, Tyskland",Adolf_Butenandt,https://en.wikipedia.org/wiki/Adolf_Butenandt,Q5327,https://www.wikidata.org/wiki/Q5327,1995-01-18,Munich,München,München,Germany,Tyskland,Tyskland,https://www.wikidata.org/wiki/Q183,Munich,München,München,"['https://www.wikidata.org/wiki/Q1726', 'https://www.wikipedia.org/wiki/Munich']",48.134703,11.581995,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,Europa,Europa,"Munich, Germany","München, Tyskland","München, Tyskland",laureate,https://api.nobelprize.org/2/laureate/199,GET,application/json,1939,1,1/2,1939-11-09,received,148822,5197496,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his work on sex hormones,för hans arbeten över sexualhormoner,,,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,"['https://www.wikidata.org/wiki/Q700541', 'https://www.wikipedia.org/wiki/Dahlem_(Berlin)']",52.453739,13.293130,Germany,Tyskland,Tyskland,['https://www.wikidata.org/wiki/Q183'],51.000000,10.000000,Europe,"Berlin-Dahlem, Germany","Berlin-Dahlem, Tyskland","Berlin-Dahlem, Tyskland",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1939,GET,application/json
